SimpleFX;St. Vincent and Grenadines;CFD Broker;No;Yes;Online
Huobi;Seychelles;Exchange;No;Yes;Online
0x;Cayman Islands;Exchange Protocol;No;Unknown;Online
0xchange;Worldwide (Decentralized);Relayer;Yes;Unknown;Online
1Broker;United States of America;Exchange;No;Unknown;Discontinued
1BTCXE;Panama;Exchange;No;No;Offline
1inch.exchange;United States of America;Aggregation Platform;Yes;No;Online
365stream;Hong Kong;Exchange;No;No;Online
3Dax;Indonesia;Exchange;No;No;Online
3XBIT;Brazil;Exchange;No;Unknown;Online
50x.com;Country not disclosed;Exchange;No;Yes;Online
55 Global Markets;United States of America;Exchange;No;Unknown;Online
808exchange;Worldwide (Decentralized);Exchange;No;No;Online
9coin;Australia;Exchange;No;No;Online
A1 Exchange;Country not disclosed;Exchange;No;Yes;Online
Aave;Switzerland;Exchange Protocol;Yes;No;Online
AAX;Malta;Exchange;No;Unknown;Online
ABCC;Singapore;Exchange;No;Yes;Online
ABIT;Australia;Exchange;No;Yes;Online
Abra;Philippines;Exchange;No;No;Online
ACX;Australia;Exchange;No;Unknown;Online
Admiral Markets;United Kingdom;CFD Broker;No;Yes;Online
AENX;Hongkong;Exchange;No;Yes;Online
Aermos;Country not disclosed;Exchange;Yes;Unknown;Offline
AEX;Seychelles;Exchange;No;Unknown;Offline
AgoraDesk;British Virgin Islands;Derivatives Exchange;No;Unknown;Online
AidosMarket;Country not disclosed;Exchange;No;Unknown;Online
AIODEX;Country not disclosed;Exchange;No;Yes;Online
Airswap;United States of America;Coin Converter (Swaps);Yes;Unknown;Online
AjuBit;Seychelles;Exchange;No;No;Online
alfacash;Belize;Buy/Sell platform;No;Yes;Online
Alkimi Exchange;United Kingdom;Exchange;Yes;No;Online
Allbit;South Korea;Exchange;No;Unknown;Online
Allcoin;Canada;Exchange;No;Unknown;Online
Alluma;Singapore;Exchange;No;Unknown;Online
Alpha Finance Lab;Worldwide (Decentralized);Yield Aggregator;Yes;No;Online
Alt Exchanger;Hong Kong;Exchange;No;Unknown;Online
Altcoin Trader;South Africa;Exchange;No;Unknown;Online
Altcoin.io;United States of America;Exchange;Yes;Unknown;Online
AltDex;United States of America;Exchange;No;Unknown;Offline
Alterdice;Singapore;Exchange;No;No;Online
Altex.Exchange;Germany;Exchange;No;No;Discontinued
Altilly;Netherlands;Exchange;No;Yes;Online
altmarkets;United Kingdom;Exchange;No;No;Online
ALTTEX;United States of America;Exchange;Yes;Unknown;Online
Amadeus Relay;Brazil;Relayer;No;Unknown;Offline
AMFEIX;Indonesia;Investment Fund;No;Yes;Online
Amplify Exchange;Ireland;Exchange;No;No;Online
Amsterdex;Netherlands;Exchange;No;Unknown;Online
Amun;Switzerland;Exchange-traded Product;No;No;Online
Anchor Protocol;Worldwide (Decentralized);Lending Protocol;Yes;No;Online
