Name;Exchange Score;Volume(24h);Avg. Liquidity;Weekly Visits;XEM Listed;XYM Listed;Blockers
Binance;9.9;1365438841;790;34051317;1;0;null
Coinbase Exchange;8.4;275932779;694;4373686;0;0;Rosetta Integration
FTX;8.2;1481969104;738;5474846;0;0;null
Kraken;7.9;540602722;717;2372787;0;0;null
KuCoin;7.7;193784476;566;4250751;1;1;null
Huobi Global;7.6;1326447017;605;2666282;1;0;null
Gate.io;7.4;1167353096;548;7090018;1;1;null
Bitfinex;7.3;46566191;621;923184;0;0;null
Bybit;7.3;259262265;636;3621099;1;1;null
Binance.US;7.2;343420451;590;1112895;0;0;null
Crypto.com Exchange;7.1;171236175;640;872926;0;0;null
bitFlyer;7.1;223142384;655;3470032;0;0;null
Bitstamp;7;15448708;616;580465;0;0;null
Gemini;7;78067243;649;934279;0;0;null
FTX US;6.9;100348106;623;684051;0;0;null
Bithumb;6.8;170891295;751;1262077;1;1;null
Coincheck;6.6;85000368;444;1130397;0;0;null
Upbit;6.6;448506219;551;3124629;1;0;null
OKX;6.5;4006325713;492;1608359;1;0;null
Coinone;6.4;147292765;454;641026;0;0;null
Poloniex;6.4;68643647;481;409755;1;1;null
Liquid;6;66029061;453;65755;1;0;null
Bittrex;6;498721079;480;1542307;1;1;null
Korbit;6;6408054;402;286343;0;0;null
Coinlist Pro;6;1277077;461;80245;0;0;null
MEXC;6;7745530;473;134097;0;0;null
Binance TR;5.9;308737477;482;971474;0;0;null
Zaif;5.9;23989930;608;1242086;1;1;null
Blockchain.com;5.7;2942366;468;929459;0;0;null
Tokocrypto;5.7;5232445;554;355011;1;0;null
LBank;5.7;902171858;353;1434880;0;0;null
Okcoin;5.6;14496516;572;202654;0;0;null
Currency.com;5.5;52476907;609;548192;0;0;null
WhiteBIT;5.5;18773465;427;594675;0;0;null
ProBit Global;5.5;58865785;529;2724950;1;1;null
Phemex;5.4;116580023;434;689478;0;0;null
ZB.COM;5.3;274511191;null;411004;1;1;null
AscendEX (Bitmax);5.3;580080315;383;197815;1;0;null
WazirX;5.3;38995451;457;2348812;1;0;null
Indodax;5.3;65871548;640;318164;1;0;null
FMFW.io;5.2;8016549;414;2621501;1;0;null
Deepcoin;5.2;1735377488;510;235901;0;0;null
WOO Network;5.2;2120605383;361;29775;0;0;null
Bitbank;5.2;67034195;485;627599;0;1;null
XT.COM;5.1;496291995;556;118140;1;0;null
BigONE;5.1;59763817;493;563351;0;0;null
BTCEX;5.1;293917107;499;592601;0;1;null
Bitvavo;5;393570814;493;498678;1;0;null
AAX;5;13802397;526;768952;0;0;null
Compound;4.9;10840350;648;32547;0;0;null
GokuMarket;4.9;8563030;null;80866;1;0;null
Bitkub;4.9;133282469;416;485771;0;0;null
CoinEx;4.9;495828679;420;959959;1;1;null
Bitrue;4.9;135865884;489;1316617;1;1;null
Bitfront;4.8;377058094;447;625147;0;0;null
Azbit;4.8;38514984;487;148878;0;0;null
BitMart;4.8;5068791;539;178252;1;0;null
Paribu;4.8;9528671;550;59325;0;0;null
Coinsbit;4.8;6424291;631;8832;1;0;null
BtcTurk | Pro;4.7;31844718;626;1092104;0;0;null
eToroX;4.7;69812346;493;1029489;0;0;null
BitWell;4.7;34142437;452;145072;0;0;null
CoinFLEX;4.7;227640129;401;1121517;0;0;null
EQONEX;4.7;30173011;501;173339;0;0;null
Cryptology;4.6;19720689;516;410730;0;0;null
CEX.IO;4.6;12676551;325;16331820;0;0;null
Luno;4.6;160097799;453;2395739;0;0;null
CrossTower;4.6;8543040;544;666741;0;0;null
DigiFinex;4.6;18231353;513;381361;1;0;null
EXMO;4.6;6078132;454;850338;1;1;null
Bitso;4.5;609641577;169;23409;0;0;null
Hotbit;4.5;5076112;534;437613;1;1;null
Rekeningku.com;4.4;346276362;522;1460107;0;0;null
ExMarkets;4.4;16692860;401;189716;0;0;null
Bitpanda Pro;4.4;8308367;493;234847;1;1;null
BankCEX;4.3;2884361;520;480919;0;0;null
BitGlobal;4.3;2770278;504;1949;0;0;null
MAX Exchange;4.3;18914632;376;152051;0;0;null
CoinW;4.3;58252556;395;695589;0;0;null
Bit2Me;4.3;2271766;436;84736;0;0;null
CoinMate;4.3;3405317474;435;363773;0;0;null
HitBTC;4.3;1260089;454;183930;1;1;null
Mercado Bitcoin;4.3;41740817;519;365366;0;0;null
IndoEx;4.2;681303172;466;732237;0;0;null
Bitexen;4.2;91476441;302;176780;0;0;null
BTC Markets;4.2;543776;468;52361;0;0;null
CoinDCX;4.2;2409801;454;10193;1;0;null
AEX;4.2;78934700;377;103905;1;1;null
ProBit;4.2;1605999;481;45264;1;1;null
Bitget;4.1;4929469;584;126374;1;0;null
Mandala Exchange;4.1;66783;292;236979;1;0;null
Independent Reserve;4.1;253451669;452;140635;0;0;null
The Rock Trading;4.1;153837018;408;550220;0;0;null
Delta Exchange;4.1;336371;496;2418;0;0;null
Folgory;4.1;700860798;239;51156;0;0;null
Dex-Trade;4.1;7035;307;99080;1;0;null
Uniswap (V3) (Arbitrum);4.1;13505294;160;53715;0;0;null
Pionex;4.1;22843286;null;null;1;0;null
ZebPay;4;5701248;415;31765;0;0;null
NovaDAX;4;1206645;385;61932;0;0;null
The Rock Trading;4;640131;457;17650;0;0;null
NovaDAX;4;480780;410;156290;0;0;null
Satang Pro;4;112445;441;118121;0;0;null
Aave;3.9;13333601;null;267173;0;0;null
BKEX;3.9;73173220;407;435891;1;1;null
Polyx;3.9;1763714;353;66719;0;0;null
StormGain;3.9;9365386;null;317947;0;0;null
Bit.com;3.9;278887;408;9481;0;0;null
LocalTrade;3.9;9053611;515;85248;0;0;null
Bitci;3.9;901319;429;122477;0;0;null
